Name	Date	Price	Minimum	Maximum	Variation	Variation(%)	Volume
JBSS3	29/12/2016	11,40	11,34	11,53	-0,08	-0,70	6.503.800
JBSS3	28/12/2016	11,48	11,29	11,65	0,17	1,50	7.147.200
JBSS3	27/12/2016	11,31	11,28	11,53	-0,17	-1,48	3.188.300
JBSS3	26/12/2016	11,48	11,40	11,54	0,08	0,70	1.820.300
JBSS3	23/12/2016	11,40	11,33	11,55	-0,08	-0,70	3.497.400
JBSS3	22/12/2016	11,48	11,23	11,54	0,02	0,17	7.447.600
JBSS3	21/12/2016	11,46	11,29	11,56	0,17	1,51	8.994.500
JBSS3	20/12/2016	11,29	11,00	11,29	0,22	1,99	8.108.400
JBSS3	19/12/2016	11,07	10,97	11,26	-0,10	-0,90	7.012.800
JBSS3	16/12/2016	11,17	10,85	11,30	0,25	2,29	9.864.400
JBSS3	15/12/2016	10,92	10,78	11,09	-0,04	-0,36	5.686.900
JBSS3	14/12/2016	10,96	10,88	11,25	-0,19	-1,70	8.864.300
JBSS3	13/12/2016	11,15	10,66	11,20	0,33	3,05	7.841.000
JBSS3	9/12/2016	11,02	10,76	11,29	-0,14	-1,25	9.606.600
JBSS3	8/12/2016	11,16	10,92	11,59	-0,29	-2,53	8.746.900
JBSS3	7/12/2016	11,45	11,13	11,70	0,40	3,62	19.061.000
JBSS3	6/12/2016	11,05	10,00	11,05	1,77	19,07	36.421.300
JBSS3	5/12/2016	9,28	9,22	9,70	-0,37	-3,83	7.248.400
JBSS3	2/12/2016	9,65	8,65	9,70	0,58	6,39	12.318.600
JBSS3	1/12/2016	9,07	8,95	9,78	-0,69	-7,07	10.820.200
JBSS3	30/11/2016	9,76	9,62	9,95	0,03	0,31	7.215.700
JBSS3	29/11/2016	9,73	9,73	10,09	-0,16	-1,62	6.433.900
JBSS3	28/11/2016	9,89	9,74	9,98	0,06	0,61	4.968.100
JBSS3	25/11/2016	9,83	9,73	9,99	0,00	0,00	3.880.800
JBSS3	24/11/2016	9,83	9,78	9,93	0,01	0,10	2.885.700
JBSS3	23/11/2016	9,82	9,54	9,88	0,07	0,72	14.594.500
JBSS3	22/11/2016	9,75	9,72	9,93	-0,10	-1,02	14.411.600
JBSS3	21/11/2016	9,85	9,82	10,29	-0,30	-2,96	14.656.700
JBSS3	18/11/2016	10,15	10,10	10,43	-0,05	-0,49	10.781.600
JBSS3	17/11/2016	10,20	9,72	10,21	0,65	6,81	17.604.800
JBSS3	16/11/2016	9,55	9,45	9,74	0,26	2,80	11.458.800
JBSS3	14/11/2016	9,29	9,10	9,38	0,19	2,09	12.369.900
JBSS3	11/11/2016	9,10	8,90	9,58	-0,15	-1,62	13.277.500
JBSS3	10/11/2016	9,25	9,20	9,69	0,13	1,43	19.158.200
JBSS3	9/11/2016	9,12	9,12	9,29	-0,31	-3,29	18.961.200
JBSS3	8/11/2016	9,43	9,38	10,07	-0,27	-2,78	16.545.500
JBSS3	7/11/2016	9,70	9,25	9,74	0,59	6,48	17.725.000
JBSS3	4/11/2016	9,11	9,11	9,55	-0,34	-3,60	10.344.300
JBSS3	3/11/2016	9,45	9,45	9,84	-0,29	-2,98	11.270.100
JBSS3	1/11/2016	9,74	9,70	9,91	0,03	0,31	17.193.400
JBSS3	31/10/2016	9,71	9,70	9,92	-0,04	-0,41	8.721.200
JBSS3	28/10/2016	9,75	9,75	10,19	-0,25	-2,50	11.822.600
JBSS3	27/10/2016	10,00	9,95	10,44	-0,44	-4,21	25.571.600
JBSS3	26/10/2016	10,44	9,31	11,81	-1,35	-11,45	68.096.600
JBSS3	25/10/2016	11,79	11,76	12,12	-0,25	-2,08	3.031.900
JBSS3	24/10/2016	12,04	11,98	12,19	0,06	0,50	3.844.900
JBSS3	21/10/2016	11,98	11,82	12,27	-0,08	-0,66	4.271.300
JBSS3	20/10/2016	12,06	12,01	12,53	-0,44	-3,52	9.143.500
JBSS3	19/10/2016	12,50	12,14	12,60	-0,09	-0,71	7.246.400
JBSS3	18/10/2016	12,59	12,56	12,82	-0,11	-0,87	9.061.000
JBSS3	17/10/2016	12,70	12,50	12,81	0,01	0,08	4.498.700
JBSS3	14/10/2016	12,69	12,45	12,74	0,19	1,52	10.947.100
JBSS3	13/10/2016	12,50	12,39	12,54	-0,07	-0,56	9.632.200
JBSS3	11/10/2016	12,57	12,44	12,59	0,03	0,24	8.686.500
JBSS3	10/10/2016	12,54	12,42	12,60	0,19	1,54	3.910.400
JBSS3	7/10/2016	12,35	12,34	12,62	-0,18	-1,44	16.162.400
JBSS3	6/10/2016	12,53	12,50	12,84	-0,33	-2,57	9.560.200
JBSS3	5/10/2016	12,86	12,05	12,95	0,75	6,19	12.106.400
JBSS3	4/10/2016	12,11	11,99	12,20	0,01	0,08	11.765.200
JBSS3	3/10/2016	12,10	11,83	12,10	0,28	2,37	5.170.300
JBSS3	30/09/2016	11,82	11,72	11,88	0,04	0,34	5.081.400
JBSS3	29/09/2016	11,78	11,73	12,10	-0,31	-2,56	5.372.800
JBSS3	28/09/2016	12,09	11,91	12,21	0,16	1,34	4.260.000
JBSS3	27/09/2016	11,93	11,77	12,13	0,08	0,68	6.997.600
JBSS3	26/09/2016	11,85	11,74	12,19	-0,38	-3,11	5.307.500
JBSS3	23/09/2016	12,23	12,12	12,37	0,03	0,25	3.967.800
JBSS3	22/09/2016	12,20	12,09	12,41	0,00	0,00	4.139.000
JBSS3	21/09/2016	12,20	12,05	12,28	0,06	0,49	6.594.700
JBSS3	20/09/2016	12,14	11,97	12,32	0,14	1,17	4.714.500
JBSS3	19/09/2016	12,00	11,88	12,11	0,00	0,00	6.542.900
JBSS3	16/09/2016	12,00	11,83	12,15	0,04	0,33	12.879.600
JBSS3	15/09/2016	11,96	11,72	11,96	0,19	1,61	8.329.900
JBSS3	14/09/2016	11,77	11,72	12,03	-0,02	-0,17	10.266.700
JBSS3	13/09/2016	11,79	11,29	11,93	0,17	1,46	8.916.300
JBSS3	12/09/2016	11,62	11,50	11,85	-0,05	-0,43	4.844.300
JBSS3	9/09/2016	11,67	11,44	11,79	-0,15	-1,27	16.557.800
JBSS3	8/09/2016	11,82	10,92	11,82	0,81	7,36	14.955.800
JBSS3	6/09/2016	11,01	10,27	11,07	-0,19	-1,70	24.621.100
JBSS3	5/09/2016	11,20	11,20	11,99	-1,25	-10,04	14.852.600
JBSS3	2/09/2016	12,45	12,27	12,58	-0,05	-0,40	8.825.000
JBSS3	1/09/2016	12,50	12,41	12,64	0,00	0,00	8.840.500
JBSS3	31/08/2016	12,50	12,30	12,80	-0,16	-1,26	10.017.100
JBSS3	30/08/2016	12,66	12,35	12,69	0,06	0,48	7.824.000
JBSS3	29/08/2016	12,60	12,25	12,69	0,26	2,11	6.061.800
JBSS3	26/08/2016	12,34	12,03	12,45	0,27	2,24	8.930.200
JBSS3	25/08/2016	12,07	11,93	12,18	0,07	0,58	9.218.800
JBSS3	24/08/2016	12,00	11,73	12,06	0,05	0,42	9.547.600
JBSS3	23/08/2016	11,95	11,67	12,09	0,29	2,49	10.846.200
JBSS3	22/08/2016	11,66	11,37	11,83	-0,03	-0,26	9.674.600
JBSS3	19/08/2016	11,69	10,92	11,88	0,63	5,70	8.614.200
JBSS3	18/08/2016	11,06	10,85	11,14	0,06	0,55	4.486.100
JBSS3	17/08/2016	11,00	10,61	11,00	0,16	1,48	9.449.300
JBSS3	16/08/2016	10,84	10,76	11,07	-0,32	-2,87	9.276.900
JBSS3	15/08/2016	11,16	10,95	11,36	0,13	1,18	8.875.300
JBSS3	12/08/2016	11,03	10,87	11,29	-0,15	-1,34	6.690.300
JBSS3	11/08/2016	11,18	10,81	11,40	0,03	0,27	10.400.200
JBSS3	10/08/2016	11,15	10,85	11,31	0,03	0,27	5.452.200
JBSS3	9/08/2016	11,12	11,03	11,39	-0,19	-1,68	4.457.700
JBSS3	8/08/2016	11,31	11,11	11,70	0,27	2,45	8.268.100
JBSS3	5/08/2016	11,04	10,92	11,34	-0,26	-2,30	4.899.300
JBSS3	4/08/2016	11,30	11,09	11,37	0,20	1,80	5.857.500
JBSS3	3/08/2016	11,10	10,75	11,15	0,23	2,12	4.952.200
JBSS3	2/08/2016	10,87	10,73	11,14	-0,15	-1,36	6.645.400
JBSS3	1/08/2016	11,02	10,68	11,09	0,12	1,10	7.038.400
JBSS3	29/07/2016	10,90	10,37	10,92	0,44	4,21	6.849.000
JBSS3	28/07/2016	10,46	10,29	10,55	0,06	0,58	3.697.000
JBSS3	27/07/2016	10,40	10,27	10,51	0,05	0,48	5.989.000
JBSS3	26/07/2016	10,35	10,26	10,60	-0,16	-1,52	5.101.900
JBSS3	25/07/2016	10,51	10,30	10,73	0,08	0,77	4.421.500
JBSS3	22/07/2016	10,43	10,29	10,80	-0,12	-1,14	6.181.800
JBSS3	21/07/2016	10,55	9,96	10,67	0,14	1,34	7.535.300
JBSS3	20/07/2016	10,41	10,41	10,89	-0,32	-2,98	7.459.700
JBSS3	19/07/2016	10,73	9,91	10,73	0,68	6,77	8.915.300
JBSS3	18/07/2016	10,05	9,86	10,07	-0,06	-0,59	8.945.400
JBSS3	15/07/2016	10,11	9,79	10,11	0,29	2,95	5.355.000
JBSS3	14/07/2016	9,82	9,71	10,23	-0,18	-1,80	8.017.500
JBSS3	13/07/2016	10,00	9,59	10,17	0,44	4,60	9.063.300
JBSS3	12/07/2016	9,56	9,53	9,80	-0,09	-0,93	5.364.500
JBSS3	11/07/2016	9,65	9,61	9,94	-0,23	-2,33	4.616.700
JBSS3	8/07/2016	9,88	9,53	9,94	0,32	3,35	4.530.200
JBSS3	7/07/2016	9,56	9,46	9,75	-0,13	-1,34	4.765.800
JBSS3	6/07/2016	9,69	9,41	9,74	0,16	1,68	6.255.400
JBSS3	5/07/2016	9,53	9,46	10,05	-0,38	-3,83	7.001.200
JBSS3	4/07/2016	9,91	9,56	10,00	0,41	4,32	5.328.000
JBSS3	1/07/2016	9,50	9,21	9,60	-0,50	-5,00	13.833.100
JBSS3	30/06/2016	10,00	9,83	10,18	0,05	0,50	9.377.900
JBSS3	29/06/2016	9,95	9,20	10,08	0,75	8,15	13.379.800
JBSS3	28/06/2016	9,20	9,05	9,50	-0,13	-1,39	6.453.700
JBSS3	27/06/2016	9,33	9,11	9,41	0,05	0,54	5.161.900
JBSS3	24/06/2016	9,28	9,15	9,34	-0,34	-3,53	5.122.000
JBSS3	23/06/2016	9,62	9,06	9,69	0,56	6,18	9.725.200
JBSS3	22/06/2016	9,06	9,06	9,56	-0,43	-4,53	8.518.000
JBSS3	21/06/2016	9,49	9,28	9,57	0,10	1,06	5.138.900
JBSS3	20/06/2016	9,39	9,36	9,89	-0,23	-2,39	7.080.900
JBSS3	17/06/2016	9,62	9,61	10,03	0,12	1,26	10.603.700
JBSS3	16/06/2016	9,50	9,25	9,73	-0,26	-2,66	6.408.700
JBSS3	15/06/2016	9,76	9,50	10,23	-0,32	-3,17	11.954.900
JBSS3	14/06/2016	10,08	10,02	10,49	-0,33	-3,17	10.669.500
JBSS3	13/06/2016	10,41	9,90	10,47	0,19	1,86	8.038.100
JBSS3	10/06/2016	10,22	10,13	10,46	-0,13	-1,26	5.056.300
JBSS3	9/06/2016	10,35	10,26	10,76	-0,35	-3,27	5.387.200
JBSS3	8/06/2016	10,70	10,32	10,70	0,30	2,88	7.324.200
JBSS3	7/06/2016	10,40	10,20	10,49	-0,01	-0,10	3.990.600
JBSS3	6/06/2016	10,41	10,41	10,78	-0,38	-3,52	8.266.000
JBSS3	3/06/2016	10,79	10,26	10,79	0,56	5,47	4.905.700
JBSS3	2/06/2016	10,23	10,06	10,40	-0,09	-0,87	9.511.500
JBSS3	1/06/2016	10,32	9,95	10,58	0,32	3,20	9.248.900
JBSS3	31/05/2016	10,00	9,88	10,32	-0,20	-1,96	11.030.400
JBSS3	30/05/2016	10,20	10,02	10,43	-0,05	-0,49	2.407.400
JBSS3	27/05/2016	10,25	10,17	10,90	-0,39	-3,67	7.454.900
JBSS3	25/05/2016	10,64	10,48	10,77	0,22	2,11	6.575.300
JBSS3	24/05/2016	10,42	10,40	10,85	-0,13	-1,23	7.666.200
JBSS3	23/05/2016	10,55	10,41	10,99	-0,45	-4,09	12.531.200
JBSS3	20/05/2016	11,00	10,73	11,65	-0,23	-2,05	9.364.800
JBSS3	19/05/2016	11,23	10,94	11,75	-0,42	-3,61	11.544.700
JBSS3	18/05/2016	11,65	11,33	12,19	0,00	0,00	17.090.300
JBSS3	17/05/2016	11,65	11,49	12,90	-0,57	-4,66	22.836.200
JBSS3	16/05/2016	12,22	10,42	12,23	1,72	16,38	22.134.500
JBSS3	13/05/2016	10,50	9,96	10,62	-0,04	-0,38	13.224.100
JBSS3	12/05/2016	10,54	9,25	11,11	1,83	21,01	41.098.600
JBSS3	11/05/2016	8,71	8,62	9,13	-0,22	-2,46	6.575.800
JBSS3	10/05/2016	8,93	8,40	8,97	0,46	5,43	7.547.300
JBSS3	9/05/2016	8,47	8,20	8,64	-0,38	-4,29	11.866.300
JBSS3	6/05/2016	8,85	8,64	9,00	0,00	0,00	5.774.000
JBSS3	5/05/2016	8,85	8,60	9,17	-0,20	-2,21	5.936.900
JBSS3	4/05/2016	9,05	8,50	9,11	0,50	5,85	7.359.300
JBSS3	3/05/2016	8,55	8,49	8,92	-0,26	-2,95	7.157.000
JBSS3	2/05/2016	8,81	8,64	9,16	0,18	2,09	4.903.900
JBSS3	29/04/2016	9,04	9,04	9,30	-0,13	-1,42	7.841.100
JBSS3	28/04/2016	9,17	9,10	9,54	-0,03	-0,33	9.783.500
JBSS3	27/04/2016	9,20	9,09	9,50	-0,20	-2,13	6.651.300
JBSS3	26/04/2016	9,40	9,16	9,42	0,15	1,62	4.074.600
JBSS3	25/04/2016	9,25	9,00	9,37	0,32	3,58	5.144.800
JBSS3	22/04/2016	8,93	8,75	9,40	-0,47	-5,00	8.434.000
JBSS3	20/04/2016	9,40	9,35	9,65	-0,27	-2,79	4.618.100
JBSS3	19/04/2016	9,67	9,47	9,78	0,22	2,33	6.320.200
JBSS3	18/04/2016	9,45	9,31	9,76	-0,20	-2,07	6.334.900
JBSS3	15/04/2016	9,65	9,44	9,86	-0,10	-1,03	7.232.300
JBSS3	14/04/2016	9,75	9,07	9,90	0,57	6,21	6.567.200
JBSS3	13/04/2016	9,18	8,96	9,37	0,09	0,99	9.601.900
JBSS3	12/04/2016	9,09	8,84	9,41	-0,07	-0,76	9.511.600
JBSS3	11/04/2016	9,16	9,16	9,75	-0,46	-4,78	6.731.900
JBSS3	8/04/2016	9,62	9,52	10,39	-0,58	-5,69	9.362.500
JBSS3	7/04/2016	10,20	9,67	10,20	0,31	3,13	6.212.900
JBSS3	6/04/2016	9,89	9,71	10,06	0,01	0,10	3.983.300
JBSS3	5/04/2016	9,88	9,81	10,12	-0,09	-0,90	4.071.200
JBSS3	4/04/2016	9,97	9,93	10,81	-0,78	-7,26	11.525.000
JBSS3	1/04/2016	10,75	10,61	10,89	-0,20	-1,83	5.417.500
JBSS3	31/03/2016	10,95	10,50	10,96	0,33	3,11	9.781.500
JBSS3	30/03/2016	10,62	10,54	11,01	0,01	0,09	5.914.300
JBSS3	29/03/2016	10,61	10,60	11,30	-0,17	-1,58	6.050.800
JBSS3	28/03/2016	10,78	10,58	11,20	-0,13	-1,19	5.118.500
JBSS3	24/03/2016	10,91	10,73	11,12	-0,25	-2,24	5.092.100
JBSS3	23/03/2016	11,16	11,07	11,39	0,01	0,09	4.402.100
JBSS3	22/03/2016	11,15	11,15	11,68	-0,44	-3,80	5.719.200
JBSS3	21/03/2016	11,59	11,59	12,10	-0,36	-3,01	4.481.500
JBSS3	18/03/2016	11,95	11,85	12,29	-0,05	-0,42	4.801.600
JBSS3	17/03/2016	12,00	11,01	12,40	0,67	5,91	11.110.500
JBSS3	16/03/2016	11,33	10,69	11,84	0,50	4,62	8.813.300
JBSS3	15/03/2016	10,83	10,80	11,94	-0,93	-7,91	7.863.100
JBSS3	14/03/2016	11,76	11,58	12,09	-0,03	-0,25	5.335.100
JBSS3	11/03/2016	11,79	11,51	12,43	-0,46	-3,76	7.105.500
JBSS3	10/03/2016	12,25	11,80	12,50	0,38	3,20	10.761.000
JBSS3	9/03/2016	11,87	11,31	11,94	0,69	6,17	8.588.400
JBSS3	8/03/2016	11,18	10,95	11,80	0,20	1,82	10.461.500
JBSS3	7/03/2016	10,98	10,90	11,49	0,10	0,92	6.671.100
JBSS3	4/03/2016	10,88	10,41	12,79	-1,69	-13,44	14.230.000
JBSS3	3/03/2016	12,57	11,89	12,85	0,67	5,63	8.589.200
JBSS3	2/03/2016	11,90	11,55	12,07	0,25	2,15	6.507.900
JBSS3	1/03/2016	11,65	11,28	11,70	0,25	2,19	5.336.800
JBSS3	29/02/2016	11,40	10,64	11,59	0,22	1,97	11.033.400
JBSS3	26/02/2016	11,18	10,94	11,80	-0,41	-3,54	6.056.100
JBSS3	25/02/2016	11,59	11,25	11,94	-0,39	-3,26	6.711.700
JBSS3	24/02/2016	11,98	10,80	12,20	0,83	7,44	6.884.100
JBSS3	23/02/2016	11,15	11,02	11,98	-0,70	-5,91	6.680.800
JBSS3	22/02/2016	11,85	11,37	12,15	0,73	6,56	10.887.800
JBSS3	19/02/2016	11,12	10,77	11,51	0,17	1,55	5.332.200
JBSS3	18/02/2016	10,95	10,75	11,54	-0,40	-3,52	8.724.200
JBSS3	17/02/2016	11,35	10,73	11,45	0,64	5,98	10.257.100
JBSS3	16/02/2016	10,71	9,95	10,85	0,63	6,25	4.905.000
JBSS3	15/02/2016	10,08	9,95	10,33	0,03	0,30	5.588.300
JBSS3	12/02/2016	10,05	9,84	10,39	-0,01	-0,10	5.827.500
JBSS3	11/02/2016	10,06	9,61	10,19	-0,31	-2,99	10.451.000
JBSS3	10/02/2016	10,37	9,92	10,45	-0,21	-1,98	7.408.700
JBSS3	5/02/2016	10,58	10,51	10,97	-0,30	-2,76	7.963.900
JBSS3	4/02/2016	10,88	10,52	11,32	0,53	5,12	11.655.500
JBSS3	3/02/2016	10,35	9,87	10,49	0,29	2,88	17.435.600
JBSS3	2/02/2016	10,06	9,95	10,64	-0,71	-6,59	16.456.600
JBSS3	1/02/2016	10,77	9,83	10,79	-0,03	-0,28	16.368.000
JBSS3	29/01/2016	10,80	9,10	10,80	1,45	15,51	27.900.800
JBSS3	28/01/2016	9,35	8,16	9,35	0,94	11,18	32.088.400
JBSS3	27/01/2016	8,41	8,28	10,11	-1,45	-14,71	48.829.100
JBSS3	26/01/2016	9,86	9,46	10,64	-0,78	-7,33	19.663.300
JBSS3	22/01/2016	10,64	10,52	11,19	-0,36	-3,27	6.643.000
JBSS3	21/01/2016	11,00	10,36	11,04	0,47	4,46	7.386.300
JBSS3	20/01/2016	10,53	10,10	10,56	0,05	0,48	8.602.100
JBSS3	19/01/2016	10,48	10,33	11,02	-0,24	-2,24	6.876.800
JBSS3	18/01/2016	10,72	10,06	10,76	0,36	3,47	3.730.200
JBSS3	15/01/2016	10,36	10,08	10,63	-0,29	-2,72	7.602.900
JBSS3	14/01/2016	10,65	10,60	11,09	-0,21	-1,93	6.670.600
JBSS3	13/01/2016	10,86	10,77	11,33	-0,24	-2,16	5.525.700
JBSS3	12/01/2016	11,10	10,82	11,45	-0,32	-2,80	6.365.700
JBSS3	11/01/2016	11,42	11,01	11,48	0,22	1,96	8.328.400
JBSS3	8/01/2016	11,20	10,61	11,20	0,20	1,82	13.947.300
JBSS3	7/01/2016	11,00	10,15	11,02	0,60	5,77	15.282.900
JBSS3	6/01/2016	10,40	10,30	11,32	-1,05	-9,17	15.168.200
JBSS3	5/01/2016	11,45	11,45	12,22	-0,60	-4,98	7.522.700
JBSS3	4/01/2016	12,05	11,71	12,20	-0,30	-2,43	6.412.800
