Name	Date	Price	Minimum	Maximum	Variation	Variation(%)	Volume
SANB4	29/12/2016	10,05	9,30	10,06	0,23	2,34	8.200
SANB4	28/12/2016	9,82	9,30	10,37	0,24	2,51	31.200
SANB4	27/12/2016	9,58	9,39	9,60	0,20	2,13	1.400
SANB4	26/12/2016	9,38	9,32	9,78	-0,12	-1,26	5.800
SANB4	23/12/2016	9,50	9,30	9,53	0,16	1,71	12.100
SANB4	22/12/2016	9,34	9,20	9,40	-0,10	-1,06	5.200
SANB4	21/12/2016	9,44	9,30	9,45	0,25	2,72	16.800
SANB4	20/12/2016	9,19	8,90	9,40	0,04	0,44	10.000
SANB4	19/12/2016	9,15	9,15	9,45	-0,19	-2,03	7.300
SANB4	16/12/2016	9,34	8,93	9,40	0,38	4,24	18.800
SANB4	15/12/2016	8,96	8,89	9,03	-0,10	-1,10	33.600
SANB4	14/12/2016	9,06	9,02	9,29	-0,02	-0,22	3.200
SANB4	13/12/2016	9,08	9,01	9,21	-0,13	-1,41	30.100
SANB4	9/12/2016	9,21	9,21	9,29	-0,01	-0,11	8.600
SANB4	8/12/2016	9,22	9,15	9,22	0,05	0,55	2.200
SANB4	7/12/2016	9,17	9,14	9,26	-0,18	-1,93	4.600
SANB4	6/12/2016	9,35	9,01	9,60	-0,18	-1,89	59.200
SANB4	5/12/2016	9,53	9,53	9,91	-0,29	-2,95	15.200
SANB4	2/12/2016	9,82	9,55	9,99	0,01	0,10	4.600
SANB4	1/12/2016	9,81	9,81	10,42	-0,34	-3,35	4.400
SANB4	30/11/2016	10,15	10,00	10,25	0,25	2,53	6.100
SANB4	29/11/2016	9,90	9,90	10,10	-0,30	-2,94	7.200
SANB4	28/11/2016	10,20	10,12	10,30	-0,10	-0,97	4.800
SANB4	25/11/2016	10,30	10,00	10,40	0,08	0,78	6.200
SANB4	24/11/2016	10,22	10,22	10,59	-0,10	-0,97	5.700
SANB4	23/11/2016	10,32	9,92	10,55	0,17	1,67	9.000
SANB4	22/11/2016	10,15	9,70	10,20	0,33	3,36	14.700
