Name	Date	Price	Minimum	Maximum	Variation	Variation(%)	Volume
UGPA3	29/12/2016	68,45	66,60	69,30	1,21	1,80	967.100
UGPA3	28/12/2016	67,24	65,55	67,39	0,88	1,33	847.400
UGPA3	27/12/2016	66,36	65,54	66,45	0,36	0,55	565.000
UGPA3	26/12/2016	66,00	65,36	66,49	0,10	0,15	280.100
UGPA3	23/12/2016	65,90	65,32	66,33	-0,08	-0,12	746.200
UGPA3	22/12/2016	65,98	64,90	66,49	0,56	0,86	1.020.800
UGPA3	21/12/2016	65,42	64,88	66,50	-0,39	-0,59	1.416.900
UGPA3	20/12/2016	65,81	64,53	65,88	0,31	0,47	1.014.600
UGPA3	19/12/2016	65,50	65,33	66,35	-0,80	-1,21	918.100
UGPA3	16/12/2016	66,30	65,32	66,98	1,11	1,70	1.264.600
UGPA3	15/12/2016	65,19	63,70	65,52	-0,42	-0,64	1.290.900
UGPA3	14/12/2016	65,61	65,43	66,86	-1,13	-1,69	1.494.400
UGPA3	13/12/2016	66,74	64,20	67,00	1,43	2,19	1.464.200
UGPA3	9/12/2016	65,80	64,86	66,38	-0,20	-0,30	2.856.400
UGPA3	8/12/2016	66,00	65,80	67,77	-1,31	-1,95	1.673.500
UGPA3	7/12/2016	67,31	67,21	68,47	-0,59	-0,87	1.142.300
UGPA3	6/12/2016	67,90	66,32	68,07	0,25	0,37	1.292.900
UGPA3	5/12/2016	67,65	67,48	69,00	-0,65	-0,95	1.257.200
UGPA3	2/12/2016	68,30	65,75	68,60	0,20	0,29	1.469.700
UGPA3	1/12/2016	68,10	66,80	69,37	-1,00	-1,45	2.101.500
UGPA3	30/11/2016	69,10	68,50	70,01	-0,45	-0,65	1.584.200
UGPA3	29/11/2016	69,55	69,00	70,59	-1,35	-1,90	2.684.000
UGPA3	28/11/2016	70,90	70,01	71,35	-0,25	-0,35	764.300
UGPA3	25/11/2016	71,15	69,17	71,34	1,15	1,64	1.065.100
UGPA3	24/11/2016	70,00	68,58	70,83	0,17	0,24	619.900
UGPA3	23/11/2016	69,83	68,36	70,40	-0,41	-0,58	819.500
