Name	Date	Price	Minimum	Maximum	Variation	Variation(%)	Volume
BBDC4	30/12/2015	19,28	19,20	19,75	-0,41	-2,08	8.456.400
BBDC4	29/12/2015	19,69	19,54	19,80	0,10	0,51	5.498.700
BBDC4	28/12/2015	19,59	19,27	19,66	0,19	0,98	6.152.200
BBDC4	23/12/2015	19,40	19,16	19,56	0,15	0,78	6.844.200
BBDC4	22/12/2015	19,25	19,10	19,58	0,17	0,89	8.981.800
BBDC4	21/12/2015	19,08	19,03	19,94	-0,57	-2,90	12.689.500
BBDC4	18/12/2015	19,65	19,46	20,24	-0,78	-3,82	22.397.300
BBDC4	17/12/2015	20,54	20,41	20,97	0,31	1,53	18.196.300
BBDC4	16/12/2015	20,95	20,11	21,13	0,18	0,87	25.941.700
BBDC4	15/12/2015	20,77	20,57	21,08	0,32	1,56	8.907.600
BBDC4	14/12/2015	20,45	20,33	20,75	-0,37	-1,78	13.412.400
BBDC4	11/12/2015	20,82	20,72	21,33	-0,18	-0,86	16.687.500
BBDC4	10/12/2015	21,00	21,00	22,04	-0,95	-4,33	15.015.700
BBDC4	9/12/2015	21,95	21,20	22,12	1,05	5,02	24.139.400
BBDC4	8/12/2015	20,90	20,81	21,50	-0,47	-2,20	14.466.700
BBDC4	7/12/2015	21,37	21,32	22,16	-0,22	-1,02	8.355.300
BBDC4	4/12/2015	21,59	21,25	21,84	-0,30	-1,37	13.021.200
BBDC4	3/12/2015	21,89	21,70	22,64	0,92	4,39	21.710.300
BBDC4	2/12/2015	20,97	20,60	21,38	-0,01	-0,05	16.139.100
BBDC4	1/12/2015	21,00	20,82	21,37	-0,12	-0,57	13.788.200
BBDC4	30/11/2015	21,12	20,85	21,52	-0,43	-2,00	32.818.800
BBDC4	27/11/2015	21,55	21,46	22,21	-0,82	-3,67	13.862.800
BBDC4	26/11/2015	22,37	21,90	22,51	0,48	2,19	10.899.500
BBDC4	25/11/2015	21,89	21,85	22,68	-1,12	-4,87	16.890.800
BBDC4	24/11/2015	23,01	22,45	23,14	-0,16	-0,69	10.695.400
BBDC4	23/11/2015	23,17	22,90	23,84	-0,23	-0,98	15.381.000
BBDC4	19/11/2015	23,40	22,82	23,40	0,72	3,17	12.459.000
BBDC4	18/11/2015	22,68	22,37	23,07	0,18	0,80	11.441.000
BBDC4	17/11/2015	22,50	21,79	22,84	0,81	3,73	16.322.400
BBDC4	16/11/2015	21,69	21,26	21,69	0,18	0,84	16.448.100
BBDC4	13/11/2015	21,51	21,27	21,76	-0,32	-1,47	13.348.800
BBDC4	12/11/2015	21,83	21,09	21,97	-0,01	-0,05	11.757.500
BBDC4	11/11/2015	21,84	21,36	21,94	0,52	2,44	11.350.900
BBDC4	10/11/2015	21,32	20,75	21,41	-0,11	-0,51	11.094.800
BBDC4	9/11/2015	21,43	21,35	21,91	-0,49	-2,24	14.592.800
BBDC4	6/11/2015	21,92	21,65	22,13	-0,32	-1,44	14.051.600
BBDC4	5/11/2015	22,24	21,54	22,24	0,59	2,73	11.389.000
BBDC4	4/11/2015	21,65	21,47	22,55	-0,44	-1,99	16.753.900
BBDC4	3/11/2015	22,11	20,94	22,15	1,11	5,29	16.703.500
BBDC4	30/10/2015	21,00	20,85	21,35	-0,04	-0,19	13.428.800
BBDC4	29/10/2015	21,04	21,04	22,07	-0,99	-4,49	14.554.100
BBDC4	28/10/2015	22,03	21,29	22,51	0,55	2,56	20.423.700
BBDC4	27/10/2015	21,48	21,16	21,54	0,09	0,42	11.998.000
BBDC4	26/10/2015	21,39	21,06	21,90	-0,16	-0,74	11.069.100
BBDC4	23/10/2015	21,55	21,50	22,45	-0,30	-1,37	10.057.800
BBDC4	22/10/2015	21,85	21,61	22,11	0,32	1,49	10.239.000
BBDC4	21/10/2015	21,53	21,25	21,76	0,03	0,14	9.504.600
BBDC4	20/10/2015	21,50	21,37	22,24	-0,52	-2,36	13.337.800
BBDC4	19/10/2015	22,02	21,96	22,42	-0,03	-0,14	14.185.300
BBDC4	16/10/2015	22,05	21,85	22,47	-0,43	-1,91	13.572.900
BBDC4	15/10/2015	22,48	22,01	22,75	-0,08	-0,35	9.743.700
BBDC4	14/10/2015	22,56	22,30	22,99	-0,12	-0,53	24.068.200
BBDC4	13/10/2015	22,68	22,24	23,45	-1,31	-5,46	19.335.600
BBDC4	9/10/2015	23,99	23,60	24,68	-0,26	-1,07	12.618.600
BBDC4	8/10/2015	24,25	23,84	24,45	0,02	0,08	12.831.400
BBDC4	7/10/2015	24,23	23,58	24,76	0,84	3,59	16.827.500
BBDC4	6/10/2015	23,39	22,94	23,50	0,22	0,95	10.630.600
BBDC4	5/10/2015	23,17	22,74	23,70	0,66	2,93	12.343.800
BBDC4	2/10/2015	22,51	21,36	22,51	0,82	3,78	12.901.400
BBDC4	1/10/2015	21,71	21,32	21,85	0,29	1,35	10.140.000
BBDC4	30/09/2015	21,42	20,90	21,78	0,41	1,95	16.929.900
BBDC4	29/09/2015	21,01	20,96	21,61	-0,13	-0,61	12.641.900
BBDC4	28/09/2015	21,14	20,87	21,48	-0,54	-2,49	11.854.300
BBDC4	25/09/2015	21,68	21,51	22,63	-0,51	-2,30	9.883.700
BBDC4	24/09/2015	22,19	20,85	22,38	0,26	1,19	15.818.300
BBDC4	23/09/2015	21,93	21,93	22,96	-0,77	-3,39	11.905.700
BBDC4	22/09/2015	22,70	21,89	22,92	0,09	0,40	14.244.000
BBDC4	21/09/2015	22,61	22,42	23,49	-0,72	-3,09	12.798.100
BBDC4	18/09/2015	23,33	23,13	24,46	-1,34	-5,43	18.975.800
BBDC4	17/09/2015	24,67	24,30	25,27	-0,07	-0,28	13.070.400
BBDC4	16/09/2015	24,74	24,01	24,75	0,89	3,73	13.222.700
BBDC4	15/09/2015	23,85	23,28	24,02	0,45	1,92	10.855.300
BBDC4	14/09/2015	23,40	22,30	23,50	1,00	4,46	11.444.100
BBDC4	11/09/2015	22,40	22,29	22,64	-0,25	-1,10	9.591.400
BBDC4	10/09/2015	22,65	22,17	23,08	-0,50	-2,16	14.893.500
BBDC4	9/09/2015	23,15	23,10	23,75	0,27	1,18	15.064.100
BBDC4	8/09/2015	22,88	22,70	23,03	0,52	2,33	10.419.300
BBDC4	4/09/2015	22,36	22,36	23,04	-0,99	-4,24	12.788.000
BBDC4	3/09/2015	23,35	22,38	23,35	0,57	2,50	16.038.600
BBDC4	2/09/2015	22,78	22,21	22,84	0,41	1,83	11.490.200
BBDC4	1/09/2015	22,39	22,20	22,74	-0,66	-2,86	15.103.400
BBDC4	31/08/2015	23,05	22,86	23,36	-0,98	-4,08	21.169.700
BBDC4	28/08/2015	24,03	23,79	24,84	-0,64	-2,59	13.646.500
BBDC4	27/08/2015	24,67	24,12	25,05	0,59	2,45	16.669.400
BBDC4	26/08/2015	24,08	22,78	24,09	1,13	4,92	19.834.600
BBDC4	25/08/2015	22,95	22,76	23,67	0,08	0,35	14.913.800
BBDC4	24/08/2015	22,87	21,75	23,39	-0,41	-1,76	19.019.600
BBDC4	21/08/2015	23,28	22,90	23,59	-0,13	-0,56	15.916.400
BBDC4	20/08/2015	23,41	23,08	23,59	-0,19	-0,81	12.936.400
BBDC4	19/08/2015	23,60	23,20	23,87	-0,66	-2,72	12.052.500
