Name	Date	Price	Minimum	Maximum	Variation	Variation(%)	Volume
ITUB4	30/12/2015	26,33	26,07	26,53	-0,09	-0,34	12.804.100
ITUB4	29/12/2015	26,42	26,28	26,66	0,02	0,08	7.280.100
ITUB4	28/12/2015	26,40	26,40	26,72	-0,10	-0,38	17.093.200
ITUB4	23/12/2015	26,50	26,31	27,09	-0,10	-0,38	11.873.000
ITUB4	22/12/2015	26,60	26,30	26,96	0,17	0,64	16.978.700
ITUB4	21/12/2015	26,43	26,30	27,20	-0,50	-1,86	19.499.500
ITUB4	18/12/2015	26,93	26,93	27,97	-1,66	-5,81	33.809.200
ITUB4	17/12/2015	28,59	28,46	29,07	0,48	1,71	12.045.600
ITUB4	16/12/2015	28,11	27,40	28,27	-0,19	-0,67	17.538.200
ITUB4	15/12/2015	28,30	28,21	28,81	0,18	0,64	20.169.400
ITUB4	14/12/2015	28,12	27,91	28,58	-0,68	-2,36	12.056.700
ITUB4	11/12/2015	28,80	28,37	29,05	0,00	0,00	13.557.300
ITUB4	10/12/2015	28,80	28,61	29,09	-0,17	-0,59	14.454.800
ITUB4	9/12/2015	29,15	28,02	29,23	1,50	5,42	28.862.100
ITUB4	8/12/2015	27,65	27,31	27,96	-0,32	-1,14	19.469.200
ITUB4	7/12/2015	27,97	27,85	28,70	-0,21	-0,75	15.727.700
ITUB4	4/12/2015	28,18	27,70	28,69	-0,64	-2,22	17.378.000
ITUB4	3/12/2015	28,82	28,10	29,42	1,72	6,35	32.180.200
ITUB4	2/12/2015	27,10	26,96	28,05	-0,89	-3,18	20.685.800
ITUB4	1/12/2015	27,99	27,42	28,09	0,22	0,79	12.951.100
ITUB4	30/11/2015	27,79	27,11	28,05	0,22	0,80	27.557.800
ITUB4	27/11/2015	27,57	27,50	28,22	-0,75	-2,65	14.917.800
ITUB4	26/11/2015	28,32	27,90	28,61	0,41	1,47	10.461.500
ITUB4	25/11/2015	27,91	27,80	28,83	-1,44	-4,91	22.377.000
ITUB4	24/11/2015	29,35	28,62	29,36	0,04	0,14	9.695.800
ITUB4	23/11/2015	29,31	29,15	29,73	-0,01	-0,03	13.557.000
ITUB4	19/11/2015	29,32	28,40	29,39	0,78	2,73	19.076.400
ITUB4	18/11/2015	28,54	28,43	29,08	-0,07	-0,24	16.262.100
ITUB4	17/11/2015	28,61	28,45	29,17	0,20	0,70	14.217.400
ITUB4	16/11/2015	28,41	27,70	28,41	0,78	2,82	16.799.700
ITUB4	13/11/2015	27,63	27,63	28,25	-0,79	-2,78	12.889.200
ITUB4	12/11/2015	28,42	27,93	28,50	0,08	0,28	11.585.800
ITUB4	11/11/2015	28,34	27,78	28,49	0,75	2,72	14.264.900
ITUB4	10/11/2015	27,59	26,90	27,59	0,17	0,62	10.202.800
ITUB4	9/11/2015	27,42	27,34	28,08	-0,72	-2,56	10.873.500
ITUB4	6/11/2015	28,14	27,80	28,50	-0,43	-1,51	13.127.800
ITUB4	5/11/2015	28,57	27,93	28,60	0,34	1,20	9.693.600
ITUB4	4/11/2015	28,23	27,97	28,80	0,07	0,25	18.219.200
