Name	Date	Price	Minimum	Maximum	Variation	Variation(%)	Volume
ITUB4	29/12/2016	33,85	33,16	33,89	0,37	1,11	7.686.400
ITUB4	28/12/2016	33,48	32,67	33,65	0,77	2,35	6.846.900
ITUB4	27/12/2016	32,71	32,38	33,00	-0,02	-0,06	8.009.900
ITUB4	26/12/2016	32,73	32,51	32,90	0,26	0,80	2.846.800
ITUB4	23/12/2016	32,47	31,80	32,75	0,83	2,62	12.320.500
ITUB4	22/12/2016	32,05	31,59	32,14	0,26	0,82	15.064.300
ITUB4	21/12/2016	31,79	31,58	32,13	-0,01	-0,03	9.569.900
ITUB4	20/12/2016	31,80	31,20	32,14	0,79	2,55	14.244.800
ITUB4	19/12/2016	31,01	31,01	32,24	-0,86	-2,70	13.617.200
ITUB4	16/12/2016	31,87	31,87	32,82	-0,58	-1,79	13.984.900
ITUB4	15/12/2016	32,45	31,86	32,79	-0,13	-0,40	17.652.100
ITUB4	14/12/2016	32,58	32,51	33,24	-0,07	-0,21	15.240.700
ITUB4	13/12/2016	32,65	32,27	33,12	0,15	0,46	20.694.800
ITUB4	9/12/2016	33,90	33,70	34,30	0,10	0,30	17.703.300
ITUB4	8/12/2016	33,80	33,69	34,40	-0,20	-0,59	9.141.300
ITUB4	7/12/2016	34,00	33,81	34,70	-0,27	-0,79	13.955.800
ITUB4	6/12/2016	34,27	33,41	34,55	0,45	1,33	12.093.600
ITUB4	5/12/2016	33,82	33,60	34,27	-0,12	-0,35	6.971.200
ITUB4	2/12/2016	33,94	33,04	34,61	0,14	0,41	13.204.800
ITUB4	1/12/2016	33,80	33,50	34,75	-1,62	-4,57	23.880.000
ITUB4	30/11/2016	35,42	35,16	36,00	0,68	1,96	12.676.200
ITUB4	29/11/2016	34,74	34,74	35,53	-0,86	-2,42	7.301.000
ITUB4	28/11/2016	35,60	34,59	35,73	0,74	2,12	7.352.200
ITUB4	25/11/2016	34,86	34,52	35,00	-0,24	-0,68	8.013.700
ITUB4	24/11/2016	35,10	34,98	35,60	-0,37	-1,04	3.836.600
ITUB4	23/11/2016	35,47	35,13	35,90	-0,33	-0,92	7.042.500
ITUB4	22/11/2016	35,80	35,32	36,33	0,12	0,34	12.858.600
ITUB4	21/11/2016	35,68	35,38	35,86	0,29	0,82	12.292.600
ITUB4	18/11/2016	35,39	34,92	35,88	0,33	0,94	9.208.500
ITUB4	17/11/2016	35,06	34,87	36,45	-1,08	-2,99	15.608.800
ITUB4	16/11/2016	36,14	34,62	36,14	1,70	4,94	19.153.100
ITUB4	14/11/2016	34,44	33,91	35,24	-0,21	-0,61	17.452.700
ITUB4	11/11/2016	34,65	34,24	35,66	-0,45	-1,28	26.539.000
ITUB4	10/11/2016	35,10	34,57	37,29	-1,84	-4,98	29.415.800
ITUB4	9/11/2016	36,94	36,50	37,94	-1,22	-3,20	19.455.100
ITUB4	8/11/2016	38,16	37,64	38,74	0,09	0,24	9.559.800
ITUB4	7/11/2016	38,07	37,26	38,30	1,32	3,59	11.313.500
ITUB4	4/11/2016	36,75	36,26	37,43	0,30	0,82	13.763.700
ITUB4	3/11/2016	36,45	36,45	37,85	-0,80	-2,15	16.343.000
ITUB4	1/11/2016	37,25	37,03	38,73	-1,13	-2,94	17.729.600
ITUB4	31/10/2016	38,40	37,98	38,84	1,29	3,48	20.939.500
ITUB4	28/10/2016	37,11	36,47	37,33	0,31	0,84	9.686.700
ITUB4	27/10/2016	36,80	36,05	37,16	0,77	2,14	11.197.000
ITUB4	26/10/2016	36,03	35,45	36,23	0,22	0,61	10.065.800
ITUB4	25/10/2016	35,81	35,33	36,12	-0,19	-0,53	8.398.100
ITUB4	24/10/2016	36,00	35,91	36,59	-0,31	-0,85	9.389.600
ITUB4	21/10/2016	36,31	36,03	36,57	-0,06	-0,16	6.545.800
ITUB4	20/10/2016	36,37	35,71	36,75	0,11	0,30	10.270.100
ITUB4	19/10/2016	36,26	36,15	36,89	-0,60	-1,63	9.216.200
ITUB4	18/10/2016	36,86	35,91	37,00	0,51	1,40	14.499.500
ITUB4	17/10/2016	39,99	38,94	39,99	0,86	2,20	15.226.800
ITUB4	14/10/2016	39,13	38,64	39,31	0,73	1,90	12.712.600
ITUB4	13/10/2016	38,40	37,51	38,65	0,43	1,13	18.238.700
ITUB4	11/10/2016	37,97	37,70	38,17	-0,13	-0,34	15.157.700
ITUB4	10/10/2016	38,10	38,00	38,58	0,05	0,13	7.880.100
ITUB4	7/10/2016	38,05	37,51	38,18	0,35	0,93	11.358.300
ITUB4	6/10/2016	37,70	37,27	37,86	0,31	0,83	10.045.200
ITUB4	5/10/2016	37,39	36,72	37,55	0,72	1,96	12.921.500
ITUB4	4/10/2016	36,67	36,25	36,84	0,32	0,88	26.692.000
ITUB4	3/10/2016	36,35	35,50	36,45	0,85	2,39	14.298.000
ITUB4	30/09/2016	35,52	35,33	36,00	-0,07	-0,20	15.492.700
ITUB4	29/09/2016	35,59	35,57	36,82	-0,93	-2,55	12.894.000
ITUB4	28/09/2016	36,52	36,00	36,71	0,26	0,72	10.855.400
ITUB4	27/09/2016	36,26	35,45	36,30	0,41	1,14	12.612.900
ITUB4	26/09/2016	35,85	35,57	35,93	-0,28	-0,77	7.917.700
ITUB4	23/09/2016	36,13	35,77	36,31	-0,09	-0,25	5.973.000
ITUB4	22/09/2016	36,22	35,84	36,57	0,57	1,60	9.044.200
ITUB4	21/09/2016	35,65	34,74	35,84	0,34	0,96	14.785.800
ITUB4	20/09/2016	35,31	35,22	35,77	0,08	0,23	5.070.600
ITUB4	19/09/2016	35,23	35,05	35,67	0,25	0,71	7.246.700
ITUB4	16/09/2016	34,98	34,76	35,69	-0,81	-2,26	14.554.800
ITUB4	15/09/2016	35,79	35,07	35,97	0,76	2,17	11.364.800
ITUB4	14/09/2016	35,03	34,91	35,43	0,03	0,09	10.165.800
ITUB4	13/09/2016	35,00	34,64	35,55	-0,71	-1,99	17.166.200
ITUB4	12/09/2016	35,71	34,81	35,83	0,46	1,30	11.464.200
ITUB4	9/09/2016	35,25	35,09	36,22	-1,39	-3,79	13.472.200
ITUB4	8/09/2016	36,64	36,55	36,94	-0,44	-1,19	12.084.500
ITUB4	6/09/2016	37,08	36,33	37,08	0,35	0,95	7.240.600
ITUB4	5/09/2016	36,73	36,51	37,00	0,01	0,03	3.187.000
ITUB4	2/09/2016	36,72	36,36	36,99	0,53	1,46	12.079.100
ITUB4	1/09/2016	36,19	35,58	36,52	0,36	1,00	12.984.800
ITUB4	31/08/2016	35,85	35,50	36,89	-0,75	-2,05	16.848.300
ITUB4	30/08/2016	36,60	36,16	36,68	0,24	0,66	4.373.800
ITUB4	29/08/2016	36,36	35,53	36,60	0,63	1,76	6.490.000
