Name	Date	Price	Minimum	Maximum	Variation	Variation(%)	Volume
JBSS3	30/12/2015	12,35	12,19	12,35	-0,05	-0,40	3.892.900
JBSS3	29/12/2015	12,40	12,31	12,59	0,03	0,24	3.901.100
JBSS3	28/12/2015	12,37	12,30	12,62	-0,16	-1,28	2.438.400
JBSS3	23/12/2015	12,53	12,27	12,76	0,10	0,80	2.525.300
JBSS3	22/12/2015	12,43	12,00	12,54	0,03	0,24	6.139.800
JBSS3	21/12/2015	12,40	12,38	12,71	-0,25	-1,98	4.491.000
JBSS3	18/12/2015	12,65	12,25	12,93	0,10	0,80	14.870.400
JBSS3	17/12/2015	12,55	12,13	12,70	0,48	3,98	10.519.600
JBSS3	16/12/2015	12,07	11,75	12,32	-0,19	-1,55	6.593.000
JBSS3	15/12/2015	12,26	12,20	12,98	-0,48	-3,77	7.738.400
JBSS3	14/12/2015	12,74	12,38	12,81	0,03	0,24	7.292.000
JBSS3	11/12/2015	12,71	12,20	12,97	0,35	2,83	7.416.000
JBSS3	10/12/2015	12,36	12,27	12,70	0,11	0,90	8.100.200
JBSS3	9/12/2015	12,25	12,07	12,69	0,25	2,08	7.797.300
JBSS3	8/12/2015	12,00	11,83	12,56	-0,36	-2,91	7.011.500
JBSS3	7/12/2015	12,36	12,26	12,78	0,11	0,90	6.588.000
JBSS3	4/12/2015	12,25	12,04	12,85	-0,43	-3,39	5.079.200
JBSS3	3/12/2015	12,68	12,25	12,84	0,48	3,93	6.131.300
JBSS3	2/12/2015	12,20	11,68	12,61	0,52	4,45	14.717.200
JBSS3	1/12/2015	11,68	11,53	12,70	-0,74	-5,96	23.080.800
JBSS3	30/11/2015	12,42	12,35	13,50	-1,04	-7,73	22.706.200
JBSS3	27/11/2015	13,46	13,30	13,68	-0,02	-0,15	7.683.700
JBSS3	26/11/2015	13,48	13,15	13,65	-0,26	-1,89	13.152.100
JBSS3	25/11/2015	13,74	13,40	13,85	-0,31	-2,21	14.003.000
JBSS3	24/11/2015	14,05	13,72	14,28	-0,19	-1,33	9.774.100
JBSS3	23/11/2015	14,24	14,02	14,35	0,15	1,06	6.097.300
JBSS3	19/11/2015	14,09	14,00	14,19	0,09	0,64	5.652.400
JBSS3	18/11/2015	14,00	13,77	14,02	0,10	0,72	17.808.100
JBSS3	17/11/2015	13,90	13,90	14,29	-0,18	-1,28	5.149.800
JBSS3	16/11/2015	14,08	13,86	14,19	-0,02	-0,14	9.510.800
JBSS3	13/11/2015	14,10	13,96	14,19	-0,16	-1,12	13.240.300
JBSS3	12/11/2015	14,26	14,03	14,38	0,10	0,71	9.286.100
JBSS3	11/11/2015	14,16	13,93	14,24	0,29	2,09	7.590.000
JBSS3	10/11/2015	13,87	13,66	14,05	-0,08	-0,57	6.354.100
JBSS3	9/11/2015	13,95	13,62	14,10	-0,05	-0,36	5.719.900
JBSS3	6/11/2015	14,00	13,91	14,45	-0,22	-1,55	7.108.100
JBSS3	5/11/2015	14,22	14,15	14,57	-0,15	-1,04	6.872.000
JBSS3	4/11/2015	14,37	13,95	14,37	0,53	3,83	7.390.200
JBSS3	3/11/2015	13,84	13,80	14,60	-0,41	-2,88	15.644.500
JBSS3	30/10/2015	14,25	13,95	14,78	-0,35	-2,40	19.511.500
JBSS3	29/10/2015	14,60	14,26	14,90	-0,74	-4,82	16.473.500
JBSS3	28/10/2015	15,34	15,21	15,69	-0,25	-1,60	10.236.800
JBSS3	27/10/2015	15,59	15,11	15,61	0,42	2,77	19.581.700
JBSS3	26/10/2015	15,17	14,91	15,20	0,02	0,13	7.551.400
JBSS3	23/10/2015	15,15	15,15	15,68	-0,25	-1,62	10.517.400
JBSS3	22/10/2015	15,40	14,94	15,44	0,44	2,94	11.376.200
JBSS3	21/10/2015	14,96	14,62	14,99	0,11	0,74	10.145.100
JBSS3	20/10/2015	14,85	14,66	15,03	0,10	0,68	8.357.000
JBSS3	19/10/2015	14,75	14,51	15,12	-0,37	-2,45	15.953.300
JBSS3	16/10/2015	15,12	14,70	15,17	0,30	2,02	10.595.200
JBSS3	15/10/2015	14,82	14,67	14,97	0,08	0,54	11.284.200
JBSS3	14/10/2015	14,74	14,71	15,12	-0,26	-1,73	25.048.900
JBSS3	13/10/2015	15,00	14,92	15,50	0,00	0,00	22.557.200
JBSS3	9/10/2015	15,00	14,91	15,34	-0,60	-3,85	9.306.500
JBSS3	8/10/2015	15,60	15,46	15,95	-0,15	-0,95	11.428.600
JBSS3	7/10/2015	15,75	15,35	16,10	-0,45	-2,78	14.723.500
JBSS3	6/10/2015	16,20	15,96	16,92	-0,60	-3,57	6.649.300
JBSS3	5/10/2015	16,80	16,78	17,26	-0,02	-0,12	9.107.100
JBSS3	2/10/2015	16,82	16,43	16,89	0,33	2,00	15.822.900
JBSS3	1/10/2015	16,49	16,25	16,94	-0,31	-1,85	11.711.200
JBSS3	30/09/2015	16,80	16,60	16,97	0,21	1,27	12.861.500
JBSS3	29/09/2015	16,59	16,08	16,87	-0,15	-0,90	7.069.000
JBSS3	28/09/2015	16,74	16,57	16,90	-0,09	-0,53	5.952.900
JBSS3	25/09/2015	16,83	16,57	16,91	0,05	0,30	12.292.500
JBSS3	24/09/2015	16,78	16,51	16,94	-0,23	-1,35	15.109.700
JBSS3	23/09/2015	17,01	16,12	17,07	0,61	3,72	18.133.400
JBSS3	22/09/2015	16,40	16,20	16,63	-0,09	-0,55	12.547.900
JBSS3	21/09/2015	16,49	16,07	16,81	0,22	1,35	13.341.400
JBSS3	18/09/2015	16,27	16,01	16,64	-0,27	-1,63	13.889.000
