Name	Date	Price	Minimum	Maximum	Variation	Variation(%)	Volume
SANB4	30/12/2015	7,23	7,00	7,29	0,08	1,12	4.900
SANB4	29/12/2015	7,15	7,15	7,40	-0,13	-1,79	4.100
SANB4	28/12/2015	7,28	7,14	7,56	0,03	0,41	23.600
SANB4	23/12/2015	7,25	7,14	7,36	0,11	1,54	6.600
SANB4	22/12/2015	7,14	7,04	7,25	-0,13	-1,79	3.900
SANB4	21/12/2015	7,27	7,05	7,28	0,26	3,71	5.200
SANB4	18/12/2015	7,01	7,01	7,44	-0,69	-8,96	18.400
SANB4	17/12/2015	7,70	7,50	7,92	0,20	2,67	33.000
SANB4	16/12/2015	7,50	7,15	7,50	0,10	1,35	53.400
SANB4	15/12/2015	7,40	7,00	7,45	0,28	3,93	27.200
SANB4	14/12/2015	7,12	7,00	7,45	-0,20	-2,73	3.300
SANB4	11/12/2015	7,32	7,10	7,32	0,21	2,95	18.800
SANB4	10/12/2015	7,11	7,11	7,21	-0,31	-4,18	12.600
SANB4	9/12/2015	7,42	7,02	7,55	0,33	4,65	14.500
SANB4	8/12/2015	7,09	7,08	7,15	-0,36	-4,83	13.200
SANB4	7/12/2015	7,45	6,78	7,52	0,63	9,24	38.300
SANB4	4/12/2015	6,82	6,82	7,14	-0,32	-4,48	34.600
SANB4	3/12/2015	7,14	6,99	7,27	0,41	6,09	8.700
SANB4	2/12/2015	6,73	6,62	7,00	0,02	0,30	6.800
SANB4	1/12/2015	6,71	6,69	6,96	-0,09	-1,32	147.700
SANB4	30/11/2015	6,80	6,50	6,99	-0,20	-2,86	23.600
SANB4	27/11/2015	7,00	6,80	7,00	0,04	0,57	7.300
SANB4	26/11/2015	6,96	6,94	7,07	-0,03	-0,43	4.600
SANB4	25/11/2015	6,99	6,99	7,05	-0,02	-0,29	4.500
SANB4	24/11/2015	7,01	7,01	7,20	-0,08	-1,13	6.600
SANB4	23/11/2015	7,09	7,09	7,09	-0,10	-1,39	700
SANB4	19/11/2015	7,19	6,86	7,30	0,08	1,13	5.900
SANB4	18/11/2015	7,11	6,81	7,11	0,13	1,86	3.300
SANB4	17/11/2015	6,98	6,50	7,01	0,38	5,76	9.500
SANB4	16/11/2015	6,60	6,45	6,60	0,10	1,54	4.500
SANB4	13/11/2015	6,50	6,50	6,50	-0,05	-0,76	100
SANB4	12/11/2015	6,55	6,50	7,11	0,05	0,77	10.200
SANB4	11/11/2015	6,50	6,40	6,80	0,10	1,56	14.300
SANB4	10/11/2015	6,40	6,32	6,48	-0,19	-2,88	6.100
SANB4	9/11/2015	6,59	6,45	6,80	0,08	1,23	10.200
SANB4	6/11/2015	6,51	6,50	7,00	-0,10	-1,51	4.900
SANB4	5/11/2015	6,61	6,61	6,80	0,00	0,00	400
SANB4	4/11/2015	6,61	6,49	6,80	0,28	4,42	4.000
SANB4	3/11/2015	6,33	6,16	6,34	0,22	3,60	2.300
SANB4	30/10/2015	6,11	6,10	6,12	0,02	0,33	300
SANB4	29/10/2015	6,09	6,06	6,36	-0,33	-5,14	13.000
SANB4	28/10/2015	6,42	6,42	6,60	0,20	3,22	4.500
SANB4	27/10/2015	6,22	6,30	6,60	-0,18	-2,81	5.000
SANB4	26/10/2015	6,40	6,40	6,40	0,00	0,00	200
SANB4	23/10/2015	6,40	6,31	6,60	0,05	0,79	2.100
SANB4	22/10/2015	6,35	6,26	6,40	0,05	0,79	6.000
SANB4	21/10/2015	6,30	6,30	6,32	0,05	0,80	1.600
SANB4	20/10/2015	6,25	6,25	6,50	0,00	0,00	1.600
