Name	Date	Price	Minimum	Maximum	Variation	Variation(%)	Volume
UGPA3	30/12/2015	60,45	60,45	62,09	-1,60	-2,58	1.778.700
UGPA3	29/12/2015	62,05	61,78	63,88	-1,08	-1,71	894.300
UGPA3	28/12/2015	63,13	62,25	63,25	-0,02	-0,03	657.800
UGPA3	23/12/2015	63,15	61,86	63,15	1,35	2,18	790.000
UGPA3	22/12/2015	61,80	61,43	62,77	-0,26	-0,42	1.569.600
UGPA3	21/12/2015	62,06	61,75	63,25	-0,04	-0,06	1.353.800
UGPA3	18/12/2015	62,10	60,85	62,50	-0,46	-0,74	1.724.900
UGPA3	17/12/2015	62,56	62,23	65,05	-0,09	-0,14	1.561.400
UGPA3	16/12/2015	62,65	61,17	62,70	0,19	0,30	1.209.500
UGPA3	15/12/2015	62,46	62,13	62,98	0,24	0,39	2.012.000
UGPA3	14/12/2015	62,22	62,17	63,44	-1,41	-2,22	1.009.300
UGPA3	11/12/2015	63,63	63,04	64,78	-0,47	-0,73	1.216.400
UGPA3	10/12/2015	64,10	62,60	66,20	-0,90	-1,38	1.887.300
UGPA3	9/12/2015	65,00	63,40	65,30	2,36	3,77	2.035.800
UGPA3	8/12/2015	62,64	62,20	63,36	-0,31	-0,49	1.181.800
UGPA3	7/12/2015	62,95	62,94	64,62	-1,09	-1,70	1.621.000
UGPA3	4/12/2015	64,04	62,87	64,99	-1,30	-1,99	1.660.300
UGPA3	3/12/2015	65,34	64,14	65,79	1,74	2,74	1.550.900
UGPA3	2/12/2015	63,60	63,04	64,74	-0,24	-0,38	2.251.800
UGPA3	1/12/2015	63,84	62,83	63,84	1,11	1,77	2.199.600
UGPA3	30/11/2015	62,73	62,73	65,33	-2,27	-3,49	4.284.300
UGPA3	27/11/2015	65,00	64,54	66,69	-2,17	-3,23	1.516.000
UGPA3	26/11/2015	67,17	65,27	67,20	1,57	2,39	1.118.500
UGPA3	25/11/2015	65,60	65,01	67,04	-2,28	-3,36	2.025.000
UGPA3	24/11/2015	67,88	66,79	68,00	-0,13	-0,19	1.704.400
UGPA3	23/11/2015	68,01	67,91	69,60	-0,99	-1,43	1.352.300
UGPA3	19/11/2015	69,00	68,39	69,53	0,20	0,29	1.241.000
UGPA3	18/11/2015	68,80	67,99	69,10	0,53	0,78	1.586.500
UGPA3	17/11/2015	68,27	68,02	69,00	0,17	0,25	1.305.300
UGPA3	16/11/2015	68,10	67,25	68,38	0,56	0,83	1.273.400
UGPA3	13/11/2015	67,54	66,42	67,85	-0,22	-0,32	1.588.600
UGPA3	12/11/2015	67,76	67,29	69,00	-0,54	-0,79	1.845.000
UGPA3	11/11/2015	68,30	66,82	68,69	1,18	1,76	1.990.800
UGPA3	10/11/2015	67,12	65,90	67,19	-0,23	-0,34	1.216.900
UGPA3	9/11/2015	67,35	66,60	68,02	0,24	0,36	1.035.200
UGPA3	6/11/2015	67,11	65,84	68,34	-1,24	-1,81	3.451.300
UGPA3	5/11/2015	68,35	67,90	70,49	-0,98	-1,41	1.512.300
UGPA3	4/11/2015	69,33	68,57	71,30	-0,11	-0,16	1.621.800
